nome,sigla,sigla_superior,unidade_organizacional,total_servidores
INSTITUTO FEDERAL DA PARAIBA,IFPB,NAO INFORMADO,NAO INFORMADO,2490
REITORIA DO IFPB,REITORIA,IFPB,REITORIA,2490
GABINETE-REITORIA - REITORIA,GAB-RE,REITORIA,REITORIA,9
PRÓ-REITORIA DE ENSINO,PRE-RE,REITORIA,REITORIA,59
PRÓ-REITORIA DE EXTENSÃO E CULTURA,PROEXC-RE,REITORIA,REITORIA,14
"PRÓ-REITORIA PESQUISA, INOVAÇÃO PÓS-GRADUAÇÃO - REITORIA",PRPIPG-RE,REITORIA,REITORIA,16
PRÓ-REITORIA DE ADMINISTRAÇÃO E FINANÇAS,PRAF-RE,REITORIA,REITORIA,54
AUDITORIA INTERNA GERAL - REITORIA,AUDI-GE-RE,REITORIA,REITORIA,7
PROCURADORIA FEDERAL - REITORIA,PF-RE,REITORIA,REITORIA,6
CAMPUS JOAO PESSOA,CAMPUS-JP,REITORIA,CAMPUS JOÃO PESSOA,637
CAMPUS CAMPINA GRANDE,CAMPUS-CG,REITORIA,CAMPUS CAMPINA GRANDE,260
GABINETE - CAMPUS CAMPINA GRANDE,GAB-CG,DG-CG,CAMPUS CAMPINA GRANDE,1
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS CAMPINA GRANDE,DDE-CG,DG-CG,CAMPUS CAMPINA GRANDE,216
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS  CAMPINA GRANDE",DAPF-CG,DG-CG,CAMPUS CAMPINA GRANDE,22
CAMPUS SOUSA,CAMPUS-SS,REITORIA,CAMPUS SOUSA,197
GABINETE-CAMPUS SOUSA,GAB-SS,DG-SS,CAMPUS SOUSA,5
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS SOUSA,DDE-SS,DG-SS,CAMPUS SOUSA,158
"DIRETORIA  DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS SOUSA",DAP-SS,DG-SS,CAMPUS SOUSA,31
CAMPUS CABEDELO,CAMPUS-CB,REITORIA,CAMPUS CABEDELO,120
GABINETE DA DIREÇÃO GERAL DO CAMPUS CABEDELO,GAB-CB,DG-CB,CAMPUS CABEDELO,1
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS CABEDELO,DDE-CB,DG-CB,CAMPUS CABEDELO,102
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS CABEDELO",DAPF-CB,DG-CB,CAMPUS CABEDELO,11
CAMPUS CAJAZEIRAS,CAMPUS-CZ,REITORIA,CAMPUS CAJAZEIRAS,181
GABINETE DIREÇÃO GERAL - CAMPUS CAJAZEIRAS,GDG-CZ,DG-CZ,CAMPUS CAJAZEIRAS,2
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS CAJAZEIRAS,DDE-CZ,DG-CZ,CAMPUS CAJAZEIRAS,138
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS CAJAZEIRAS",DAPF-CZ,DG-CZ,CAMPUS CAJAZEIRAS,19
CAMPUS PRINCESA ISABEL,CAMPUS-PI,REITORIA,CAMPUS PRINCESA ISABEL,80
DIRETORIA DE DESENVOLVIMENTO DE ENSINO DO CAMPUS PRINCESA ISABEL,DDE-PI,DG-PI,CAMPUS PRINCESA ISABEL,67
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS PRINCESA ISABEL",DAPF-PI,DG-PI,CAMPUS PRINCESA ISABEL,8
CAMPUS PICUI,CAMPUS-PC,REITORIA,CAMPUS PICUÍ,93
CAMPUS MONTEIRO,CAMPUS-MT,REITORIA,CAMPUS MONTEIRO,93
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS MONTEIRO",DAPF-MT,DG-MT,CAMPUS MONTEIRO,9
CAMPUS PATOS,CAMPUS-PT,REITORIA,CAMPUS PATOS,105
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS PATOS,DDE-PT,DG-PT ,CAMPUS PATOS,85
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS PATOS",DAPF-PT,DG-PT ,CAMPUS PATOS,13
DIRETORIA GERAL DE TECNOLOGIA DA INFORMAÇÃO - REITORIA,DGTI-RE,REITORIA,REITORIA,26
COORDENAÇÃO DE DESENVOLVIMENTO E GERENCIAMENTO DE SISTEMAS - REITORIA,CDGS-RE,DGTI-RE,REITORIA,5
COORDENAÇÃO DE INFRAESTRUTURA E MANUTENÇÃO DE REDES - REITORIA,CIMR-RE,DGTI-RE,REITORIA,7
DIRETORIA DE PLANEJAMENTO INSTITUCIONAL - REITORIA,DPI-RE,REITORIA,REITORIA,3
DIRETORIA DE GERENCIAMENTO E FISCALIZAÇÃO DE OBRAS DE ENGENHARIA - REITORIA,DGFOE-RE,REITORIA,REITORIA,23
COORDENAÇÃO DE OBRAS DE ENGENHARIA - REITORIA,COE-RE,DGFOE-RE,REITORIA,16
SECRETARIA DA REITORIA,SEC-RE,GAB-RE,REITORIA,1
COORDENAÇÃO DE MEMÓRIA E ARQUIVO,CMA-RE,DCML-RE,REITORIA,3
OUVIDORIA - REITORIA,OUVIDORIA-RE,REITORIA,REITORIA,1
DIREÇÃO GERAL DO CAMPUS CAJAZEIRAS,DG-CZ,CAMPUS-CZ,CAMPUS CAJAZEIRAS,179
DIREÇÃO GERAL DO CAMPUS CAMPINA GRANDE,DG-CG,CAMPUS-CG,CAMPUS CAMPINA GRANDE,259
DIRECAO GERAL DO CAMPUS SOUSA,DG-SS,CAMPUS-SS,CAMPUS SOUSA,197
COORDENAÇÃO DA COMISSÃO PERMANENTE DE CONCURSOS - REITORIA,COMPEC-RE,REITORIA,REITORIA,4
DIRETORIA DE INOVAÇÃO TECNOLÓGICA - REITORIA,DIT-RE,PRPIPG-RE,REITORIA,2
ASSISTÊNCIA DA PRÓ-REITORIA DE ENSINO - REITORIA,APRE-RE,PRE-RE,REITORIA,1
"DEPARTAMENTO DE CADASTRO ACADÊMICO, CERTIFICAÇÃO E DIPLOMAÇÃO - REITORIA",DCAD-RE,PRE-RE,REITORIA,7
COORDENAÇÃO DE PRODUÇÃO AUDIOVISUAL - REITORIA,CPAV-RE,PRE-RE,REITORIA,8
DIRETORIA DE EDUCAÇÃO SUPERIOR - REITORIA,DES-RE,PRE-RE,REITORIA,6
DIRETORIA DE EDUCAÇÃO PROFISSIONAL - REITORIA,DEP-RE,PRE-RE,REITORIA,3
